  Layer  Stave Chip     X         Y           Z        r         phi
    02    05    01   -0.0369    3.9577     -9.6833   3.9579    1.5801
    02    05    02   -0.0338    3.9600     -6.6689   3.9601    1.5793
    02    05    03   -0.0307    3.9602     -3.6551   3.9603    1.5786
    02    05    04   -0.0276    3.9607     -0.6413   3.9608    1.5778
    02    05    05   -0.0242    3.9592      2.3715   3.9592    1.5769
    02    05    06   -0.0218    3.9587      5.3857   3.9588    1.5763
    02    05    07   -0.0199    3.9576      8.3988   3.9577    1.5758
    02    05    08   -0.0174    3.9588     11.4131   3.9588    1.5752
    02    06    00   -1.2590    3.5470    -12.6996   3.7638    1.9119
    02    06    01   -1.2632    3.5664     -9.6959   3.7835    1.9112
    02    06    02   -1.2644    3.5714     -6.6771   3.7886    1.9111
    02    06    03   -1.2631    3.5744     -3.6627   3.7910    1.9105
    02    06    04   -1.2611    3.5774     -0.6466   3.7932    1.9097
    02    06    05   -1.2592    3.5791      2.3697   3.7942    1.9091
    02    06    06   -1.2558    3.5798      5.3857   3.7937    1.9082
    02    06    07   -1.2539    3.5816      8.4014   3.7947    1.9075
    02    06    08   -1.2512    3.5832     11.4149   3.7954    1.9067
    02    07    00   -2.3039    2.8195    -12.7075   3.6410    2.2559
    02    07    01   -2.3005    2.8205     -9.6904   3.6397    2.2550
    02    07    02   -2.2990    2.8224     -6.6749   3.6402    2.2543
    02    07    03   -2.2993    2.8246     -3.6589   3.6421    2.2540
    02    07    04   -2.2993    2.8261     -0.6428   3.6433    2.2538
    02    07    05   -2.2986    2.8265      2.3732   3.6432    2.2536
    02    07    06   -2.2968    2.8260      5.3888   3.6416    2.2533
    02    07    07   -2.2953    2.8268      8.4047   3.6413    2.2528
    02    07    08   -2.2937    2.8279     11.4183   3.6412    2.2523
    02    08    00   -3.0590    1.7802    -12.7122   3.5393    2.6145
    02    08    01   -3.0617    1.7830     -9.6969   3.5431    2.6143
    02    08    02   -3.0629    1.7831     -6.6805   3.5441    2.6144
    02    08    03   -3.0647    1.7841     -3.6626   3.5462    2.6144
    02    08    04   -3.0625    1.7840     -0.6464   3.5442    2.6141
